Comment,Sentiment
🔴 SUNDAY LIVE STREAM : Will Talk About The Scratches,Neutral
I claim no no subscribers from this video,Negative
goosebumps like someone behind me.........................................................................................................................................................,Positive
I claim no negative  energy from this video,Negative
bro start making movies,Neutral
Welcome back buddy,Positive
Finally bro is back ❤😢,Neutral
sab to bizzarebub and top nukes 5 ki videos hai and here I thought you'll show something original. 😢 how disappointing.,Neutral
Background music me bass bohot zyada hai,Neutral
nice horror video,Negative
9:00 the courage,Positive
Seeing it in dark 🫵✨✨,Neutral
Finally vid aagiye aur ab kab aayege?,Neutral
Bhi muje laga ki thum 😢 margaye😂😂😂,Neutral
good storytelling narration 👏👏👏👏👏👏👏👏,Positive
bruhhhhh scratches are realll💀💀 (cz i made it),Neutral
Can't Wait for new video❤,Neutral
"Dar nhi laga yaar,😂 kuch aur daraawna banao pls❤❤❤❤",Positive
Hanuman chalisa padh le bhai sare bhuto ke L lag jayenge,Negative
Bruh I req continue series in a more consistent manner I was so eagerly waiting,Positive
24:21  I claim no negative energy from this,Negative
door creaks and door slams are always so scary i dont know but if me vaha pe hoti steven ki jagah i would never be able to complete the video....😭😭,Negative
As always a great vdo❤ just loved it and hopefully you're doing absolutely great. Take care of yourself and good luck ❤,Positive
"After a long time 💖😀
Itna din old video dekh kar time pass kar rhi thi 😅",Neutral
30:57 sambhal kar bhai kya pata bhoot kuch Le na i mean kuch khena chaha raha ho !!??🤨💀,Neutral
One of my favourite series i love it,Positive
13:19 fathery should always be man not womens because ghost feeds on fear and women have more fear tendency then men that why you have seen why most of possession is on teenage boy or girl & women...,Negative
Bhai love your content ❤❤❤,Positive
"bhai ye to bizzare bub yt channel ke saare vids hain , kuch naye vids lao.",Neutral
Just coollllll God super video ❤❤❤,Positive
Waited too longggg for your videos❤❤,Neutral
4:50 samne dog ke pas se kuch notice kiya,Neutral
"Bhai deen mai hi gand bata ja ra hai 
Andere mai tho nai nai nai mai deen mai he dek loonga 😅",Neutral
YOU DA REAL HORROR,Negative
Dude.....u r soo good at this.....like ur way of narration....wufff... goosebumps....amazing keep it up...even if the videos are late I will wait for every video of yours...and damn ...I really love your video brooo....,Positive
I have already seen these video clips in nuke's channel and bizzare bub.Bring something unique bro,Neutral
You are talking about hands on the door ceiling but what about that smoky thing above the yellow boxes at 2:34🥶,Neutral
Kitna lamba time bhai kitna lamba tim,Neutral
"Let's go, my boy is back and yeah pre-congrats for 250k....we'll be there",Positive
Kete Dina pare asila... Mu sei puruna video dekhu thili sete dinathu... Hele b Iam Happy jaha hau video asila to❤,Positive
Brooooo plz don't put al horror images in the video I am begging u I literally peed in my pants,Positive
I doubt the authenticity of the 4th video footage,Negative
ap kaha the malik ??,Neutral
Ab nai video Aaegi 2050 me 😂,Neutral
this is. the most genuine ghost videos i have ever seen. good job brother,Positive
Barenya 5:01 re tu jau pic ta with sound delu. Mini heart attack bro what is this 😂,Negative
i claim no negative energy from this video 👁👂👂,Negative
"Bhai bas consistency maintain Kari yar , apka content bahut acha hai bas thoda videos aur laate raho",Neutral
"bro i love your videos soooo much , you really put in crazy efforts, this will pay off if you keep posting consistently , good luck with everything",Positive
Didnt anybody see the hand in the mirror  pushing the play house in the first video,Positive
jhaant daraawna tha itna overacting ulta jaise jaise video aage gaye itni bakwaas hoti gayi aur yeh back scratch loda lasooon😂😂😂😂 abe yaa tu baccha hai ya logo ko samajhta 😂😂😂😂 stop seeking attention and start focusing on making a real good content just good edit won’t justify the dull content that too after so long,Positive
Pls bro ab dobara kahi mat jana ase hi content banate rehna ❤❤❤❤,Positive
Ab 2027 mein second video ayegi,Neutral
Finally back to business,Neutral
"If that scratch was a real Shit then man please RECORD YOURSELF while editing...who knows you capture something which is NOT EXPLAINABLE
BTW amazing extra ordinary video",Negative
Yar tu saal me ek baar aata hai aur kaand kr k jata hai ❤❤,Neutral
9:11 wo room nahi balki wohi mirror yaa dressing table wohi chiz Haunted hai,Negative
Bro is back 🎉🎉hope that you will be regular from nowonwards 🫡🫡,Positive
Op 🔥🔥🔥,Neutral
Bhai next video jaldi lana,Neutral
22 main aayi hai video,Neutral
Wahh bhai again asigala tme 🫶🏻💖,Neutral
Dekho ye zinda hai!!!,Neutral
"Raat me 1 baje is video ko dekh kr maja aagya😝✨✨👍🏻 wo jump scare to best tha 
..dill fat ke baher aagya 😱",Positive
10:43 bro raat ke 1 baj raha hai pure gar me aala rheta hai 🗿😹,Neutral
Bhai face tho full aap ka dikhta he nahe,Neutral
Bhai tu jinda hain😂😂,Neutral
4:42 closely hath ko find out kar raha tha bhai ne eisa jumpscare dala raat ke 1 baje jaan hi nikal gayi😭,Neutral
Bada let video upload kiya bhai,Neutral
Bhai please ap pehele hanuman ji ke pass jake puja karo ekbr aur red daga peheno...you are definitely not safe..and something was also happed to me in past I beat that women...I will talk about this on Instagram at personal dm..but bro isko halke main mat Lena..ap Mumbai main ek apartment main unknown place Koi nehi hain...please ek bar hanuman chalisa chalake sona..it really help u..because I m not joking it really help me a lot...also yeh Wali video aptak ka sabse best laga..vai gand fat geyi😂...bahot darr lag geya..aur chahiye aise video future main and uske liye apne ap ko bhi safe rakhna zaruri hain..so take care..and I will dm you on Instagram ❤,Positive
Thand ka mausam or raat 1 baje kambal ke undar video dekhneme maja ata hai😨🥶,Neutral
Great video,Positive
already band kamre me light off karke hi dekh rha hu bro,Neutral
Re-post 🙂,Neutral
The old woman was interested in joe😂,Positive
2:36 some delay in mirror reflection some how it is possible??,Negative
